window_days,threshold_mm,H,F,M,C,POD,FAR,CSI,HSS,ETS,FPR
2,80.6000,47,517,272,15235,0.1473,0.9167,0.0562,0.0832,0.0434,0.0328
2,82.5000,43,493,276,15259,0.1348,0.9198,0.0530,0.0776,0.0404,0.0313
2,83.7000,41,469,278,15283,0.1285,0.9196,0.0520,0.0764,0.0397,0.0298
2,85.6000,40,443,279,15309,0.1254,0.9172,0.0525,0.0777,0.0404,0.0281
2,88.1000,34,420,285,15332,0.1066,0.9251,0.0460,0.0662,0.0342,0.0267
2,89.8000,33,396,286,15356,0.1034,0.9231,0.0462,0.0670,0.0347,0.0251
2,92.1000,32,370,287,15382,0.1003,0.9204,0.0464,0.0681,0.0353,0.0235
2,95.2000,31,346,288,15406,0.0972,0.9178,0.0466,0.0691,0.0358,0.0220
2,97.8000,30,319,289,15433,0.0940,0.9140,0.0470,0.0705,0.0366,0.0203
2,100.0000,27,295,292,15457,0.0846,0.9161,0.0440,0.0656,0.0339,0.0187
2,102.9000,25,270,294,15482,0.0784,0.9153,0.0424,0.0636,0.0328,0.0171
2,107.3000,23,245,296,15507,0.0721,0.9142,0.0408,0.0614,0.0316,0.0156
2,110.0000,22,220,297,15532,0.0690,0.9091,0.0408,0.0624,0.0322,0.0140
2,113.3000,20,195,299,15557,0.0627,0.9070,0.0389,0.0599,0.0309,0.0124
2,117.7000,17,171,302,15581,0.0533,0.9096,0.0347,0.0531,0.0273,0.0109
2,123.4000,15,146,304,15606,0.0470,0.9068,0.0323,0.0498,0.0256,0.0093
2,129.1000,13,121,306,15631,0.0408,0.9030,0.0295,0.0462,0.0236,0.0077
2,138.0000,11,97,308,15655,0.0345,0.8981,0.0264,0.0419,0.0214,0.0062
2,145.7000,5,76,314,15676,0.0157,0.9383,0.0127,0.0171,0.0086,0.0048
2,158.7000,3,51,316,15701,0.0094,0.9444,0.0081,0.0104,0.0052,0.0032
2,188.9000,1,26,318,15726,0.0031,0.9630,0.0029,0.0027,0.0013,0.0017
3,43.9000,192,2640,127,13112,0.6019,0.9322,0.0649,0.0894,0.0468,0.1676
3,44.3000,189,2613,130,13139,0.5925,0.9325,0.0645,0.0886,0.0464,0.1659
3,44.7000,186,2589,133,13163,0.5831,0.9330,0.0640,0.0878,0.0459,0.1644
3,45.4000,184,2560,135,13192,0.5768,0.9329,0.0639,0.0877,0.0459,0.1625
3,45.8000,182,2530,137,13222,0.5705,0.9329,0.0639,0.0877,0.0459,0.1606
3,46.2000,181,2509,138,13243,0.5674,0.9327,0.0640,0.0879,0.0460,0.1593
3,46.8000,178,2483,141,13269,0.5580,0.9331,0.0635,0.0871,0.0455,0.1576
3,47.2000,178,2457,141,13295,0.5580,0.9324,0.0641,0.0882,0.0461,0.1560
3,47.6000,177,2429,142,13323,0.5549,0.9321,0.0644,0.0888,0.0465,0.1542
3,48.1000,175,2399,144,13353,0.5486,0.9320,0.0644,0.0888,0.0465,0.1523
3,48.6000,173,2378,146,13374,0.5423,0.9322,0.0641,0.0884,0.0462,0.1510
3,49.1000,172,2344,147,13408,0.5392,0.9316,0.0646,0.0893,0.0467,0.1488
3,49.6000,170,2323,149,13429,0.5329,0.9318,0.0643,0.0888,0.0465,0.1475
3,50.2000,166,2296,153,13456,0.5204,0.9326,0.0635,0.0873,0.0456,0.1458
3,50.8000,162,2276,157,13476,0.5078,0.9336,0.0624,0.0854,0.0446,0.1445
3,51.4000,160,2246,159,13506,0.5016,0.9335,0.0624,0.0854,0.0446,0.1426
3,51.9000,159,2219,160,13533,0.4984,0.9331,0.0626,0.0859,0.0449,0.1409
3,52.5000,157,2191,162,13561,0.4922,0.9331,0.0625,0.0858,0.0448,0.1391
3,53.3000,155,2164,164,13588,0.4859,0.9332,0.0624,0.0856,0.0447,0.1374
3,53.7000,153,2141,166,13611,0.4796,0.9333,0.0622,0.0852,0.0445,0.1359
3,54.2000,151,2115,168,13637,0.4734,0.9334,0.0620,0.0850,0.0444,0.1343
3,54.9000,149,2089,170,13663,0.4671,0.9334,0.0619,0.0847,0.0442,0.1326
3,55.6000,149,2062,170,13690,0.4671,0.9326,0.0626,0.0861,0.0450,0.1309
3,56.1000,149,2031,170,13721,0.4671,0.9317,0.0634,0.0877,0.0458,0.1289
