window_days,threshold_mm,H,F,M,C,POD,FAR,CSI,HSS,ETS,FPR
3,52.3000,116,1594,100,14261,0.5370,0.9322,0.0641,0.0990,0.0521,0.1005
3,53.1000,114,1575,102,14280,0.5278,0.9325,0.0637,0.0982,0.0516,0.0993
3,53.6000,113,1560,103,14295,0.5231,0.9325,0.0636,0.0982,0.0516,0.0984
3,54.1000,113,1542,103,14313,0.5231,0.9317,0.0643,0.0994,0.0523,0.0973
3,54.7000,110,1525,106,14330,0.5093,0.9327,0.0632,0.0974,0.0512,0.0962
3,55.4000,110,1509,106,14346,0.5093,0.9321,0.0638,0.0985,0.0518,0.0952
3,56.0000,110,1489,106,14366,0.5093,0.9312,0.0645,0.0999,0.0526,0.0939
3,56.4000,110,1470,106,14385,0.5093,0.9304,0.0652,0.1012,0.0533,0.0927
3,57.1000,109,1454,107,14401,0.5046,0.9303,0.0653,0.1013,0.0534,0.0917
3,57.4000,105,1438,111,14417,0.4861,0.9320,0.0635,0.0981,0.0516,0.0907
3,57.9000,103,1424,113,14431,0.4769,0.9325,0.0628,0.0969,0.0509,0.0898
3,58.2000,103,1410,113,14445,0.4769,0.9319,0.0633,0.0979,0.0515,0.0889
3,58.8000,99,1395,117,14460,0.4583,0.9337,0.0615,0.0945,0.0496,0.0880
3,59.4000,99,1376,117,14479,0.4583,0.9329,0.0622,0.0959,0.0504,0.0868
3,59.8000,98,1359,118,14496,0.4537,0.9327,0.0622,0.0960,0.0504,0.0857
3,60.3000,97,1344,119,14511,0.4491,0.9327,0.0622,0.0959,0.0504,0.0848
3,60.9000,97,1324,119,14531,0.4491,0.9317,0.0630,0.0974,0.0512,0.0835
3,61.5000,95,1308,121,14547,0.4398,0.9323,0.0623,0.0963,0.0506,0.0825
3,62.1000,94,1291,122,14564,0.4352,0.9321,0.0624,0.0964,0.0506,0.0814
3,62.5000,93,1274,123,14581,0.4306,0.9320,0.0624,0.0965,0.0507,0.0804
3,62.9000,91,1259,125,14596,0.4213,0.9326,0.0617,0.0953,0.0500,0.0794
3,63.6000,89,1241,127,14614,0.4120,0.9331,0.0611,0.0942,0.0494,0.0783
3,64.2000,87,1228,129,14627,0.4028,0.9338,0.0602,0.0927,0.0486,0.0775
3,64.9000,86,1208,130,14647,0.3981,0.9335,0.0604,0.0930,0.0488,0.0762
3,65.3000,86,1189,130,14666,0.3981,0.9325,0.0612,0.0945,0.0496,0.0750
3,65.8000,85,1171,131,14684,0.3935,0.9323,0.0613,0.0947,0.0497,0.0739
3,66.3000,82,1158,134,14697,0.3796,0.9339,0.0597,0.0918,0.0481,0.0730
3,67.1000,82,1141,134,14714,0.3796,0.9330,0.0604,0.0933,0.0489,0.0720
3,67.6000,82,1122,134,14733,0.3796,0.9319,0.0613,0.0949,0.0498,0.0708
3,68.2000,81,1109,135,14746,0.3750,0.9319,0.0611,0.0946,0.0497,0.0699
3,68.8000,78,1093,138,14762,0.3611,0.9334,0.0596,0.0919,0.0481,0.0689
3,69.7000,78,1073,138,14782,0.3611,0.9322,0.0605,0.0936,0.0491,0.0677
3,70.1000,77,1057,139,14798,0.3565,0.9321,0.0605,0.0936,0.0491,0.0667
3,70.8000,76,1040,140,14815,0.3519,0.9319,0.0605,0.0937,0.0492,0.0656
3,71.3000,76,1021,140,14834,0.3519,0.9307,0.0614,0.0955,0.0501,0.0644
3,72.0000,76,1002,140,14853,0.3519,0.9295,0.0624,0.0972,0.0511,0.0632
3,72.7000,76,986,140,14869,0.3519,0.9284,0.0632,0.0988,0.0520,0.0622
3,73.3000,76,967,140,14888,0.3519,0.9271,0.0642,0.1007,0.0530,0.0610
3,73.8000,76,950,140,14905,0.3519,0.9259,0.0652,0.1025,0.0540,0.0599
3,74.6000,75,932,141,14923,0.3472,0.9255,0.0653,0.1028,0.0542,0.0588
3,75.2000,75,912,141,14943,0.3472,0.9240,0.0665,0.1049,0.0554,0.0575
3,75.8000,75,897,141,14958,0.3472,0.9228,0.0674,0.1066,0.0563,0.0566
3,76.6000,75,879,141,14976,0.3472,0.9214,0.0685,0.1087,0.0575,0.0554
3,77.6000,75,861,141,14994,0.3472,0.9199,0.0696,0.1108,0.0586,0.0543
3,78.5000,74,844,142,15011,0.3426,0.9194,0.0698,0.1112,0.0589,0.0532
3,79.4000,72,828,144,15027,0.3333,0.9200,0.0690,0.1097,0.0581,0.0522
3,80.0000,71,813,145,15042,0.3287,0.9197,0.0690,0.1099,0.0581,0.0513
3,80.7000,70,794,146,15061,0.3241,0.9190,0.0693,0.1105,0.0585,0.0501
3,81.5000,69,776,147,15079,0.3194,0.9183,0.0696,0.1110,0.0588,0.0489
3,82.4000,66,761,150,15094,0.3056,0.9202,0.0676,0.1075,0.0568,0.0480
3,83.2000,66,743,150,15112,0.3056,0.9184,0.0688,0.1099,0.0581,0.0469
3,84.1000,66,727,150,15128,0.3056,0.9168,0.0700,0.1121,0.0594,0.0459
3,85.2000,64,708,152,15147,0.2963,0.9171,0.0693,0.1109,0.0587,0.0447
3,86.1000,64,692,152,15163,0.2963,0.9153,0.0705,0.1131,0.0600,0.0436
3,87.4000,62,675,154,15180,0.2870,0.9159,0.0696,0.1116,0.0591,0.0426
3,88.1000,58,661,158,15194,0.2685,0.9193,0.0661,0.1056,0.0557,0.0417
3,88.8000,58,643,158,15212,0.2685,0.9173,0.0675,0.1082,0.0572,0.0406
3,89.4000,54,630,162,15225,0.2500,0.9211,0.0638,0.1016,0.0535,0.0397
3,90.4000,53,614,163,15241,0.2454,0.9205,0.0639,0.1018,0.0536,0.0387
3,91.2000,52,595,164,15260,0.2407,0.9196,0.0641,0.1024,0.0540,0.0375
3,92.5000,51,580,165,15275,0.2361,0.9192,0.0641,0.1025,0.0540,0.0366
3,93.6000,51,560,165,15295,0.2361,0.9165,0.0657,0.1056,0.0557,0.0353
3,95.2000,50,543,166,15312,0.2315,0.9157,0.0659,0.1060,0.0560,0.0342
3,96.3000,48,527,168,15328,0.2222,0.9165,0.0646,0.1039,0.0548,0.0332
3,97.7000,47,508,169,15347,0.2176,0.9153,0.0649,0.1046,0.0552,0.0320
3,99.8000,47,492,169,15363,0.2176,0.9128,0.0664,0.1074,0.0567,0.0310
3,101.1000,46,476,170,15379,0.2130,0.9119,0.0665,0.1077,0.0569,0.0300
3,102.7000,44,459,172,15396,0.2037,0.9125,0.0652,0.1056,0.0557,0.0289
3,104.4000,43,442,173,15413,0.1991,0.9113,0.0653,0.1061,0.0560,0.0279
3,106.1000,42,426,174,15429,0.1944,0.9103,0.0654,0.1064,0.0562,0.0269
3,108.7000,39,411,177,15444,0.1806,0.9133,0.0622,0.1008,0.0531,0.0259
3,110.6000,38,394,178,15461,0.1759,0.9120,0.0623,0.1012,0.0533,0.0249
3,112.6000,38,376,178,15479,0.1759,0.9082,0.0642,0.1048,0.0553,0.0237
3,114.2000,37,359,179,15496,0.1713,0.9066,0.0643,0.1054,0.0556,0.0226
3,115.8000,36,342,180,15513,0.1667,0.9048,0.0645,0.1059,0.0559,0.0216
3,118.4000,36,323,180,15532,0.1667,0.8997,0.0668,0.1103,0.0584,0.0204
3,120.5000,35,307,181,15548,0.1620,0.8977,0.0669,0.1108,0.0586,0.0194
3,122.4000,34,290,182,15565,0.1574,0.8951,0.0672,0.1116,0.0591,0.0183
3,125.5000,33,273,183,15582,0.1528,0.8922,0.0675,0.1125,0.0596,0.0172
3,128.1000,31,257,185,15598,0.1435,0.8924,0.0655,0.1093,0.0578,0.0162
3,132.2000,29,240,187,15615,0.1343,0.8922,0.0636,0.1063,0.0561,0.0151
3,135.2000,27,225,189,15630,0.1250,0.8929,0.0612,0.1024,0.0540,0.0142
3,137.0000,26,208,190,15647,0.1204,0.8889,0.0613,0.1030,0.0543,0.0131
3,139.2000,24,192,192,15663,0.1111,0.8889,0.0588,0.0990,0.0521,0.0121
3,142.3000,22,176,194,15679,0.1019,0.8889,0.0561,0.0946,0.0497,0.0111
3,145.0000,20,158,196,15697,0.0926,0.8876,0.0535,0.0905,0.0474,0.0100
3,149.1000,19,143,197,15712,0.0880,0.8827,0.0529,0.0900,0.0471,0.0090
3,153.3000,18,126,198,15729,0.0833,0.8750,0.0526,0.0902,0.0472,0.0079
3,159.0000,13,113,203,15742,0.0602,0.8968,0.0395,0.0668,0.0345,0.0071
3,165.9000,11,98,205,15757,0.0509,0.8991,0.0350,0.0592,0.0305,0.0062
3,173.1000,6,84,210,15771,0.0278,0.9333,0.0200,0.0316,0.0160,0.0053
3,186.9000,6,66,210,15789,0.0278,0.9167,0.0213,0.0352,0.0179,0.0042
