window_days,threshold_mm,H,F,M,C,POD,FAR,CSI,HSS,ETS,FPR
2,22.0000,29,1185,74,26105,0.2816,0.9761,0.0225,0.0374,0.0190,0.0434
2,22.2000,29,1171,74,26119,0.2816,0.9758,0.0228,0.0378,0.0193,0.0429
2,22.5000,28,1147,75,26143,0.2718,0.9762,0.0224,0.0372,0.0189,0.0420
2,22.7000,27,1126,76,26164,0.2621,0.9766,0.0220,0.0363,0.0185,0.0413
2,22.9000,26,1109,77,26181,0.2524,0.9771,0.0215,0.0354,0.0180,0.0406
2,23.2000,26,1084,77,26206,0.2524,0.9766,0.0219,0.0362,0.0185,0.0397
2,23.6000,25,1064,78,26226,0.2427,0.9770,0.0214,0.0353,0.0180,0.0390
2,24.0000,22,1045,81,26245,0.2136,0.9794,0.0192,0.0310,0.0157,0.0383
2,24.4000,22,1023,81,26267,0.2136,0.9789,0.0195,0.0317,0.0161,0.0375
2,24.9000,22,998,81,26292,0.2136,0.9784,0.0200,0.0326,0.0166,0.0366
2,25.3000,21,980,82,26310,0.2039,0.9790,0.0194,0.0314,0.0160,0.0359
2,25.7000,21,957,82,26333,0.2039,0.9785,0.0198,0.0323,0.0164,0.0351
2,26.0000,20,939,83,26351,0.1942,0.9791,0.0192,0.0311,0.0158,0.0344
2,26.4000,20,917,83,26373,0.1942,0.9787,0.0196,0.0319,0.0162,0.0336
2,26.8000,20,895,83,26395,0.1942,0.9781,0.0200,0.0328,0.0167,0.0328
2,27.4000,20,871,83,26419,0.1942,0.9776,0.0205,0.0337,0.0172,0.0319
2,27.8000,19,854,84,26436,0.1845,0.9782,0.0199,0.0324,0.0165,0.0313
2,28.3000,19,831,84,26459,0.1845,0.9776,0.0203,0.0334,0.0170,0.0305
2,28.7000,19,814,84,26476,0.1845,0.9772,0.0207,0.0341,0.0174,0.0298
2,29.4000,17,788,86,26502,0.1650,0.9789,0.0191,0.0310,0.0157,0.0289
2,29.9000,16,771,87,26519,0.1553,0.9797,0.0183,0.0295,0.0150,0.0283
2,30.5000,15,746,88,26544,0.1456,0.9803,0.0177,0.0283,0.0143,0.0273
2,31.2000,15,723,88,26567,0.1456,0.9797,0.0182,0.0293,0.0149,0.0265
2,31.6000,15,705,88,26585,0.1456,0.9792,0.0186,0.0301,0.0153,0.0258
2,32.1000,15,683,88,26607,0.1456,0.9785,0.0191,0.0311,0.0158,0.0250
2,32.5000,15,661,88,26629,0.1456,0.9778,0.0196,0.0322,0.0164,0.0242
2,33.1000,14,641,89,26649,0.1359,0.9786,0.0188,0.0306,0.0156,0.0235
2,33.6000,14,617,89,26673,0.1359,0.9778,0.0194,0.0319,0.0162,0.0226
2,34.2000,14,596,89,26694,0.1359,0.9770,0.0200,0.0330,0.0168,0.0218
2,34.7000,14,577,89,26713,0.1359,0.9763,0.0206,0.0342,0.0174,0.0211
2,35.4000,14,552,89,26738,0.1359,0.9753,0.0214,0.0357,0.0182,0.0202
2,35.9000,14,530,89,26760,0.1359,0.9743,0.0221,0.0372,0.0189,0.0194
2,36.6000,14,508,89,26782,0.1359,0.9732,0.0229,0.0388,0.0198,0.0186
2,37.4000,14,485,89,26805,0.1359,0.9719,0.0238,0.0405,0.0207,0.0178
2,37.9000,14,466,89,26824,0.1359,0.9708,0.0246,0.0421,0.0215,0.0171
2,38.8000,14,443,89,26847,0.1359,0.9694,0.0256,0.0441,0.0226,0.0162
2,39.5000,13,421,90,26869,0.1262,0.9700,0.0248,0.0426,0.0218,0.0154
2,40.3000,12,399,91,26891,0.1165,0.9708,0.0239,0.0409,0.0209,0.0146
2,41.2000,12,380,91,26910,0.1165,0.9694,0.0248,0.0428,0.0219,0.0139
2,42.2000,12,360,91,26930,0.1165,0.9677,0.0259,0.0449,0.0230,0.0132
2,43.4000,11,337,92,26953,0.1068,0.9684,0.0250,0.0432,0.0221,0.0123
2,44.6000,11,315,92,26975,0.1068,0.9663,0.0263,0.0458,0.0235,0.0115
2,45.3000,11,297,92,26993,0.1068,0.9643,0.0275,0.0482,0.0247,0.0109
2,46.5000,11,270,92,27020,0.1068,0.9609,0.0295,0.0521,0.0267,0.0099
2,47.7000,9,253,94,27037,0.0874,0.9656,0.0253,0.0442,0.0226,0.0093
2,48.9000,7,233,96,27057,0.0680,0.9708,0.0208,0.0357,0.0182,0.0085
2,50.7000,6,212,97,27078,0.0583,0.9725,0.0190,0.0324,0.0165,0.0078
2,51.9000,4,191,99,27099,0.0388,0.9795,0.0136,0.0220,0.0111,0.0070
2,54.0000,3,170,100,27120,0.0291,0.9827,0.0110,0.0171,0.0086,0.0062
2,55.8000,3,152,100,27138,0.0291,0.9806,0.0118,0.0188,0.0095,0.0056
2,58.2000,2,129,101,27161,0.0194,0.9847,0.0086,0.0129,0.0065,0.0047
2,61.4000,2,107,101,27183,0.0194,0.9817,0.0095,0.0151,0.0076,0.0039
2,64.3000,1,87,102,27203,0.0097,0.9886,0.0053,0.0070,0.0035,0.0032
2,67.7000,1,65,102,27225,0.0097,0.9848,0.0060,0.0089,0.0045,0.0024
2,73.4000,0,44,103,27246,0.0000,1.0000,0.0000,-0.0023,-0.0011,0.0016
2,80.3000,0,22,103,27268,0.0000,1.0000,0.0000,-0.0013,-0.0007,0.0008
3,17.5000,69,2249,34,25041,0.6699,0.9702,0.0293,0.0502,0.0257,0.0824
3,17.7000,69,2227,34,25063,0.6699,0.9699,0.0296,0.0507,0.0260,0.0816
3,18.0000,69,2196,34,25094,0.6699,0.9695,0.0300,0.0515,0.0264,0.0805
3,18.2000,69,2182,34,25108,0.6699,0.9693,0.0302,0.0518,0.0266,0.0800
3,18.6000,69,2150,34,25140,0.6699,0.9689,0.0306,0.0526,0.0270,0.0788
3,18.8000,69,2135,34,25155,0.6699,0.9687,0.0308,0.0530,0.0272,0.0782
3,19.2000,68,2106,35,25184,0.6602,0.9687,0.0308,0.0529,0.0272,0.0772
3,19.5000,67,2087,36,25203,0.6505,0.9689,0.0306,0.0526,0.0270,0.0765
3,19.7000,66,2065,37,25225,0.6408,0.9690,0.0304,0.0523,0.0268,0.0757
3,20.0000,64,2044,39,25246,0.6214,0.9696,0.0298,0.0511,0.0262,0.0749
3,20.2000,62,2029,41,25261,0.6019,0.9703,0.0291,0.0497,0.0255,0.0743
3,20.5000,57,2001,46,25289,0.5534,0.9723,0.0271,0.0459,0.0235,0.0733
3,20.7000,57,1986,46,25304,0.5534,0.9721,0.0273,0.0463,0.0237,0.0728
3,21.0000,56,1957,47,25333,0.5437,0.9722,0.0272,0.0461,0.0236,0.0717
3,21.2000,55,1936,48,25354,0.5340,0.9724,0.0270,0.0457,0.0234,0.0709
3,21.5000,55,1911,48,25379,0.5340,0.9720,0.0273,0.0464,0.0237,0.0700
3,21.7000,55,1892,48,25398,0.5340,0.9718,0.0276,0.0469,0.0240,0.0693
3,22.1000,55,1870,48,25420,0.5340,0.9714,0.0279,0.0474,0.0243,0.0685
3,22.3000,55,1848,48,25442,0.5340,0.9711,0.0282,0.0480,0.0246,0.0677
3,22.6000,53,1824,50,25466,0.5146,0.9718,0.0275,0.0467,0.0239,0.0668
3,22.9000,53,1803,50,25487,0.5146,0.9714,0.0278,0.0473,0.0242,0.0661
3,23.2000,51,1776,52,25514,0.4951,0.9721,0.0271,0.0461,0.0236,0.0651
3,23.4000,51,1760,52,25530,0.4951,0.9718,0.0274,0.0465,0.0238,0.0645
3,23.7000,49,1733,54,25557,0.4757,0.9725,0.0267,0.0452,0.0231,0.0635
3,23.9000,48,1713,55,25577,0.4660,0.9727,0.0264,0.0447,0.0229,0.0628
3,24.3000,48,1687,55,25603,0.4660,0.9723,0.0268,0.0455,0.0233,0.0618
3,24.5000,46,1668,57,25622,0.4466,0.9732,0.0260,0.0439,0.0224,0.0611
3,24.9000,45,1643,58,25647,0.4369,0.9733,0.0258,0.0435,0.0222,0.0602
